run_id	Lift curve.Positive rate	Lift curve
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4625	71
